# X,Y,Z
# numeric,numeric,numeric
-1.878,-1.013,73.627
-13.059,17.360,41.080
-12.641,-3.435,174.669
-15.365,34.323,607.439
-5.673,-14.979,598.393
-21.508,-21.410,973.770
-1.276,-19.761,817.145
-13.806,-8.358,301.274
-8.405,-11.787,470.952
-11.247,34.341,605.098
-2.689,0.103,75.917
-20.301,-15.140,668.435
-11.612,21.716,166.265
-11.920,-3.798,173.865
-4.331,-13.553,479.397
-15.499,18.138,6.781
-10.862,14.350,-15.520
-14.389,-1.524,145.707
-9.789,26.113,252.389
-7.086,6.937,-57.971
-15.503,29.254,350.007
-4.276,12.541,31.791
-5.492,28.382,313.531
-7.488,6.641,-22.467
-5.496,-13.296,579.077
-13.419,41.741,993.796
-10.614,-3.187,146.908
-14.679,2.017,57.476
-11.339,-5.506,225.864
-7.348,1.949,39.089
-13.458,8.640,17.061
-11.984,8.027,16.783
-13.436,14.915,30.182
-14.226,31.882,461.266
-13.356,3.193,60.007
-10.063,-13.497,535.858
-15.587,-12.735,513.536
-8.828,-4.986,235.432
-1.701,-20.113,912.010
-6.290,17.375,84.141
-10.959,-2.473,151.863
-14.438,0.335,36.306
-13.736,4.972,-18.720
-1.538,-15.949,692.119
-9.746,-7.920,297.835
-13.185,15.121,20.885
-9.045,14.278,-17.984
0.501,-1.648,145.688
-9.399,32.158,466.357
-6.914,-14.586,625.919
-8.499,-0.175,75.221
-11.761,1.537,84.569
-15.713,-36.896,2201.121
-11.747,34.063,545.965
-11.044,10.495,12.720
-7.067,-10.669,389.660
-5.805,35.768,628.408
-5.344,13.785,17.368
-8.572,11.443,-28.552
-5.574,-4.105,169.104
-13.772,6.593,-11.992
-3.736,-17.885,737.580
-7.435,16.925,59.086
-11.490,-0.617,112.925
-7.557,7.011,-7.797
-10.378,23.031,152.093
-4.342,9.271,-3.215
-2.401,8.937,30.263
0.928,9.147,7.501
-16.982,-5.999,228.259
-17.221,17.540,61.288
-12.522,28.150,311.467
-9.200,16.382,20.756
-5.619,18.274,100.115
-8.422,-8.159,304.284
-20.111,-8.017,297.626
-11.531,-16.613,644.457
-5.860,23.484,131.755
-8.850,1.187,73.942
-6.190,25.998,223.552
-11.112,-6.729,277.734
-11.004,-1.563,90.823
-9.067,6.431,-21.448
-7.950,18.822,79.688
-9.009,5.911,38.240
-9.405,8.167,3.172
-13.353,5.248,37.528
-8.112,7.658,33.101
-9.391,-11.747,483.936
-4.353,6.214,-23.626
-4.005,2.201,43.186
-9.074,4.148,35.005
-11.876,12.385,-19.683
-13.194,-5.210,227.648
-7.883,3.732,-15.196
-9.613,0.540,53.784
-11.719,11.260,-0.192
-9.782,16.772,-25.073
-13.100,-9.331,331.009
-6.510,13.789,-1.089
-12.236,35.987,617.326
-3.877,-17.067,719.070
-7.983,-7.453,269.604
-7.032,-8.209,309.266
-15.475,0.814,62.917
-9.153,29.343,363.874
-6.297,5.200,-6.058
-14.769,-5.420,225.031
-11.331,14.327,-11.306
-9.837,-3.997,194.820
-16.866,21.851,167.796
-8.424,9.579,-9.901
-5.769,25.832,239.889
-14.298,-4.920,178.511
-8.247,50.463,1639.577
-16.561,17.369,20.347
-10.193,14.819,-12.001
-18.079,4.232,32.204
-4.393,-5.884,241.826
-7.955,-8.017,337.275
-10.123,2.960,70.629
-13.876,-6.959,259.117
-3.631,9.240,-11.213
-0.164,-7.391,331.473
-19.290,14.316,27.793
-3.819,19.342,90.096
-1.862,-5.588,260.629
-8.310,22.890,136.045
-15.996,1.431,74.345
-5.683,22.329,172.243
-10.905,11.572,27.996
-13.020,21.835,104.911
-16.150,-9.955,376.922
-7.247,3.398,38.153
-6.036,26.771,259.056
-13.118,-4.271,178.853
-7.397,-25.558,1266.473
-15.722,-24.139,1141.625
-5.991,-32.597,1754.773
-9.767,-26.712,1341.851
-10.933,-1.175,99.259
-10.509,24.178,167.725
-5.656,-1.633,81.193
-6.248,9.853,10.367
-7.353,3.350,-26.457
-9.311,5.128,-33.749
-9.611,2.477,34.699
-6.908,2.387,73.677
-8.838,11.917,21.419
-6.587,-12.640,468.683
-11.551,20.152,83.620
-22.174,18.800,24.683
-4.806,2.074,73.099
0.935,17.081,-1.775
-7.793,-5.520,222.296
-10.501,-3.058,181.345
-10.682,7.344,-13.506
-10.595,2.147,83.429
-9.913,-1.731,100.868
-15.610,-5.087,221.839
-12.585,-3.362,184.886
-14.985,19.088,64.090
-8.756,-24.150,1185.870
-11.483,10.287,-1.214
-7.524,1.453,17.107
-10.874,15.917,118.978
-5.068,12.726,8.648
-8.932,-36.738,2172.126
0.953,13.770,-35.760
-19.482,9.864,-12.937
-13.235,5.328,-4.670
-5.493,-2.030,145.832
2.642,17.799,55.120
-11.243,-1.195,156.663
-9.782,32.521,495.741
-11.132,13.466,9.849
-3.343,37.067,726.957
-11.437,-6.783,262.957
-6.600,-21.339,962.541
-11.599,15.722,45.265
-16.363,17.791,65.194
-8.432,5.530,-10.759
-7.484,-18.082,745.757
-3.534,-1.718,120.636
-10.552,14.270,32.267
-13.087,2.237,44.570
-7.186,3.260,74.085
-8.796,2.368,23.869
-8.597,-9.009,349.872
-10.366,-2.995,90.970
-4.198,-16.398,666.980
-8.153,31.519,440.357
-0.477,-2.131,144.925
-4.445,12.164,32.450
-6.705,-10.328,399.113
-18.137,16.918,69.206
-6.988,-23.097,1096.981
-7.899,18.809,87.261
-5.945,4.469,3.933
-4.778,36.659,730.331
