dataset,x,y
string,numeric,numeric
I,10.00,8.04
I,8.00,6.95
I,13.00,7.58
I,9.00,8.81
I,11.00,8.33
I,14.00,9.96
I,6.00,7.24
I,4.00,4.26
I,12.00,10.84
I,7.00,4.82
I,5.00,5.68
II,10.00,9.14
II,8.00,8.14
II,13.00,8.74
II,9.00,8.77
II,11.00,9.26
II,14.00,8.10
II,6.00,6.13
II,4.00,3.10
II,12.00,9.13
II,7.00,7.26
II,5.00,4.74
III,10.00,7.46
III,8.00,6.77
III,13.00,12.74
III,9.00,7.11
III,11.00,7.81
III,14.00,8.84
III,6.00,6.08
III,4.00,5.39
III,12.00,8.15
III,7.00,6.42
III,5.00,5.73
IV,8.00,6.58
IV,8.00,5.76
IV,8.00,7.71
IV,8.00,8.84
IV,8.00,8.47
IV,8.00,7.04
IV,8.00,5.25
IV,19.00,12.50
IV,8.00,5.56
IV,8.00,7.91
IV,8.00,6.89
